station	date	windsnelheidgem	windsnelheidhoog	windsnelheidlaag
240	20160101	37	60	10
240	20160102	69	80	60
240	20160103	73	90	60
240	20160104	47	70	30
240	20160105	46	60	40
240	20160106	40	50	30
240	20160107	87	140	40
240	20160108	69	130	30
240	20160109	56	80	30
240	20160110	73	100	50
240	20160111	55	70	40
240	20160112	69	90	50
240	20160113	53	80	30
240	20160114	68	90	40
240	20160115	29	60	10
240	20160116	63	110	30
240	20160117	32	60	10
240	20160118	31	50	20
240	20160119	25	50	10
240	20160120	23	40	10
240	20160121	34	50	10
240	20160122	58	80	40
240	20160123	45	60	20
240	20160124	55	70	40
240	20160125	56	100	20
240	20160126	92	130	40
240	20160127	113	140	60
240	20160128	71	90	50
240	20160129	120	140	90
240	20160130	103	130	60
240	20160131	70	100	40
240	20160201	124	160	70
240	20160202	108	120	90
240	20160203	71	100	30
240	20160204	45	80	0
240	20160205	63	90	30
240	20160206	77	90	60
240	20160207	100	130	70
240	20160208	140	170	110
240	20160209	70	130	20
240	20160210	59	80	40
240	20160211	44	70	30
240	20160212	32	50	20
240	20160213	56	80	30
240	20160214	60	70	40
240	20160215	46	70	10
240	20160216	17	40	0
240	20160217	34	50	10
240	20160218	44	60	20
240	20160219	44	90	10
240	20160220	101	140	70
240	20160221	121	150	60
240	20160222	67	150	30
240	20160223	40	80	20
240	20160224	33	60	20
240	20160225	35	70	10
240	20160226	22	30	10
240	20160227	50	80	30
240	20160228	45	80	20
240	20160229	33	70	10
240	20160301	65	90	10
240	20160302	68	100	20
240	20160303	38	60	10
240	20160304	48	90	10
240	20160305	22	40	10
240	20160306	17	50	0
240	20160307	24	40	10
240	20160308	41	70	20
240	20160309	72	90	40
240	20160310	40	50	30
240	20160311	36	50	20
240	20160312	30	40	20
240	20160313	52	70	30
240	20160314	58	70	20
240	20160315	36	60	10
240	20160316	55	90	30
240	20160317	40	50	30
240	20160318	34	50	20
240	20160319	45	60	40
240	20160320	43	60	20
240	20160321	46	80	20
240	20160322	42	50	30
240	20160323	41	60	20
240	20160324	50	80	20
240	20160325	57	90	10
240	20160326	75	110	20
240	20160327	73	100	40
240	20160328	114	160	70
240	20160329	74	110	30
240	20160330	64	100	20
240	20160331	35	70	10
240	20160401	30	40	20
240	20160402	30	60	10
240	20160403	42	70	10
240	20160404	41	90	10
240	20160405	40	70	10
240	20160406	77	110	40
240	20160407	70	90	30
240	20160408	27	60	10
240	20160409	42	70	10
240	20160410	42	70	20
240	20160411	68	100	40
240	20160412	39	70	10
240	20160413	30	50	10
240	20160414	26	40	10
240	20160415	39	80	10
240	20160416	69	110	10
240	20160417	40	70	10
240	20160418	70	100	40
240	20160419	49	70	20
240	20160420	35	60	10
240	20160421	49	60	20
240	20160422	45	60	20
240	20160423	55	80	30
240	20160424	56	100	20
240	20160425	50	80	10
240	20160426	89	130	60
240	20160427	54	90	10
240	20160428	45	70	20
240	20160429	73	100	40
240	20160430	40	60	20
240	20160501	21	30	10
240	20160502	52	80	10
240	20160503	46	80	10
240	20160504	25	40	10
240	20160505	43	60	30
240	20160506	42	70	10
240	20160507	38	60	10
240	20160508	63	80	50
240	20160509	65	80	50
240	20160510	39	50	30
240	20160511	43	60	30
240	20160512	64	80	50
240	20160513	65	80	40
240	20160514	66	90	40
240	20160515	58	80	20
240	20160516	38	60	20
240	20160517	41	70	10
240	20160518	38	70	10
240	20160519	37	70	10
240	20160520	60	80	30
240	20160521	53	90	10
240	20160522	31	70	10
240	20160523	61	80	50
240	20160524	50	70	20
240	20160525	23	30	10
240	20160526	22	40	0
240	20160527	43	50	30
240	20160528	34	50	20
240	20160529	50	60	30
240	20160530	66	90	40
240	20160531	34	60	10
240	20160601	52	80	20
240	20160602	62	80	40
240	20160603	25	40	10
240	20160604	33	60	10
240	20160605	43	60	30
240	20160606	36	40	30
240	20160607	38	60	20
240	20160608	40	60	20
240	20160609	39	60	20
240	20160610	26	40	10
240	20160611	20	40	10
240	20160612	24	60	0
240	20160613	42	70	20
240	20160614	43	70	20
240	20160615	25	40	10
240	20160616	24	40	10
240	20160617	32	50	10
240	20160618	51	90	20
240	20160619	43	60	30
240	20160620	64	80	20
240	20160621	31	40	20
240	20160622	37	50	20
240	20160623	28	50	10
240	20160624	37	50	10
240	20160625	31	60	10
240	20160626	48	70	30
240	20160627	47	70	10
240	20160628	27	60	10
240	20160629	63	90	20
240	20160630	53	70	30
240	20160701	72	90	60
240	20160702	72	100	40
240	20160703	41	70	10
240	20160704	25	40	10
240	20160705	68	110	30
240	20160706	42	70	20
240	20160707	40	70	0
240	20160708	55	100	10
240	20160709	48	80	10
240	20160710	58	90	30
240	20160711	93	130	60
240	20160712	46	60	10
240	20160713	40	70	10
240	20160714	52	90	10
240	20160715	43	80	10
240	20160716	56	70	20
240	20160717	41	60	0
240	20160718	25	50	10
240	20160719	29	50	10
240	20160720	55	80	20
240	20160721	37	60	20
240	20160722	23	50	10
240	20160723	28	50	10
240	20160724	29	50	10
240	20160725	41	70	20
240	20160726	29	50	10
240	20160727	47	80	10
240	20160728	41	80	10
240	20160729	59	90	40
240	20160730	28	50	10
240	20160731	40	70	10
240	20160801	41	70	20
240	20160802	40	50	20
240	20160803	81	100	60
240	20160804	70	90	30
240	20160805	42	60	20
240	20160806	40	70	20
240	20160807	68	90	30
240	20160808	65	100	10
240	20160809	40	70	10
240	20160810	36	70	10
240	20160811	55	80	30
240	20160812	62	80	40
240	20160813	48	80	10
240	20160814	25	50	0
240	20160815	30	50	10
240	20160816	44	60	30
240	20160817	51	80	30
240	20160818	39	50	30
240	20160819	32	60	10
240	20160820	63	80	40
240	20160821	69	90	50
240	20160822	60	90	30
240	20160823	26	40	20
240	20160824	35	60	20
240	20160825	29	50	10
240	20160826	33	50	10
240	20160827	49	90	10
240	20160828	63	100	20
240	20160829	33	50	10
240	20160830	20	30	0
240	20160831	27	60	10
240	20160901	28	50	10
240	20160902	48	80	20
240	20160903	43	60	20
240	20160904	82	110	50
240	20160905	33	70	10
240	20160906	26	50	10
240	20160907	22	40	10
240	20160908	41	80	10
240	20160909	33	60	20
240	20160910	36	70	20
240	20160911	27	50	0
240	20160912	28	40	10
240	20160913	33	50	10
240	20160914	28	40	10
240	20160915	39	80	10
240	20160916	47	70	30
240	20160917	28	40	20
240	20160918	36	60	20
240	20160919	11	20	0
240	20160920	14	20	0
240	20160921	28	50	10
240	20160922	24	40	10
240	20160923	37	70	10
240	20160924	41	60	30
240	20160925	53	80	30
240	20160926	16	30	10
240	20160927	37	60	10
240	20160928	72	90	50
240	20160929	69	100	30
240	20160930	45	90	20
240	20161001	43	60	20
240	20161002	55	90	30
240	20161003	36	50	20
240	20161004	54	70	40
240	20161005	65	80	50
240	20161006	51	70	20
240	20161007	48	60	30
240	20161008	30	50	10
240	20161009	16	50	10
240	20161010	19	40	0
240	20161011	26	60	10
240	20161012	57	80	40
240	20161013	67	80	50
240	20161014	53	70	40
240	20161015	42	60	30
240	20161016	43	70	20
